"Nasdaq Traded","Security Name","Listing Exchange","Market Category","ETF","Round Lot Size","Test Issue","Financial Status","CQS Symbol","NASDAQ Symbol","NextShares"
"True","Cato Corporation (The) Class A Common Stock","N"," ","False","100.0","False","","CATO","CATO","False"
"True","Cathay General Bancorp - Common Stock","Q","Q","False","100.0","False","N","","CATY","False"
"True","Chubb Limited  Common Stock","N"," ","False","100.0","False","","CB","CB","False"
"True","Colony Bankcorp, Inc. - Common Stock","Q","G","False","100.0","False","N","","CBAN","False"
"True","CBAK Energy Technology, Inc. - Common Stock","Q","S","False","100.0","False","N","","CBAT","False"
"True","CymaBay Therapeutics Inc. - Common Stock","Q","Q","False","100.0","False","N","","CBAY","False"
"True","Cincinnati Bell Inc. Common Stock","N"," ","False","100.0","False","","CBB","CBB","False"
"True","Cincinnati Bell Inc. Preferred Stock","N"," ","False","100.0","False","","CBBpB","CBB-B","False"
"True","Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share","N"," ","False","100.0","False","","CBD","CBD","False"
"True","CB Financial Services, Inc. - Common Stock","Q","G","False","100.0","False","N","","CBFV","False"
"True","AllianzGI Convertible & Income 2024 Target Term Fund Common Shares of Beneficial Interest","N"," ","False","100.0","False","","CBH","CBH","False"
"True","Catalyst Biosciences, Inc.  - Common Stock","Q","S","False","100.0","False","N","","CBIO","False"
"True","Cleveland BioLabs, Inc. - Common Stock","Q","S","False","100.0","False","N","","CBLI","False"
"True","Changebridge Capital Long/Short Equity ETF","P"," ","True","100.0","False","","CBLS","CBLS","False"
"True","CBM Bancorp, Inc. - Common Stock","Q","S","False","100.0","False","N","","CBMB","False"
"True","Cellular Biomedicine Group, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CBMG","False"
"True","Capital Bancorp, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CBNK","False"
"True","CBO (Listing Market - NYSE - Networks A/E) Common Stock","N"," ","False","100.0","True","","CBO","CBO","False"
"True","Cboe Global Markets, Inc. Common Stock","Z"," ","False","100.0","False","","CBOE","CBOE","False"
"True","VanEck Vectors ChinaAMC China Bond ETF","P"," ","True","100.0","False","","CBON","CBON","False"
"True","China Biologic Products Holdings, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CBPO","False"
"True","CBRE Group Inc Common Stock Class A","N"," ","False","100.0","False","","CBRE","CBRE","False"
"True","Cracker Barrel Old Country Store, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CBRL","False"
"True","Changebridge Capital Sustainable Equity ETF","P"," ","True","100.0","False","","CBSE","CBSE","False"
"True","Commerce Bancshares, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CBSH","False"
"True","Cabot Corporation Common Stock","N"," ","False","100.0","False","","CBT","CBT","False"
"True","CBTX, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CBTX","False"
"True","Community Bank System, Inc. Common Stock","N"," ","False","100.0","False","","CBU","CBU","False"
"True","CBX (Listing Market NYSE Networks AE) Common Stock","N"," ","False","100.0","True","","CBX","CBX","False"
"True","CBIZ, Inc. Common Stock","N"," ","False","100.0","False","","CBZ","CBZ","False"
"True","Chemours Company (The) Common Stock","N"," ","False","100.0","False","","CC","CC","False"
"True","CITIC Capital Acquisition Corp. Class A Ordinary Shares","N"," ","False","100.0","False","","CCAC","CCAC","False"
"True","CITIC Capital Acquisition Corp. Units","N"," ","False","100.0","False","","CCAC.U","CCAC=","False"
"True","CITIC Capital Acquisition Corp. Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share","N"," ","False","100.0","False","","CCAC.WS","CCAC+","False"
"True","Crescent Capital BDC, Inc. - Common Stock","Q","G","False","100.0","False","N","","CCAP","False"
"True","Coastal Financial Corporation - Common Stock","Q","Q","False","100.0","False","N","","CCB","False"
"True","Capital City Bank Group - Common Stock","Q","Q","False","100.0","False","N","","CCBG","False"
"True","Clarivate Plc Ordinary Shares","N"," ","False","100.0","False","","CCC","CCC","False"
"True","C4 Therapeutics, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CCCC","False"
"True","Calamos Dynamic Convertible & Income Fund - Common Shares","Q","Q","False","100.0","False","N","","CCD","False"
"True","Coca-Cola European Partners plc Ordinary Shares","N"," ","False","100.0","False","","CCEP","CCEP","False"
"True","Chase Corporation Common Stock","A"," ","False","100.0","False","","CCF","CCF","False"
"True","Crown Castle International Corp. (REIT) Common Stock","N"," ","False","100.0","False","","CCI","CCI","False"
"True","Churchill Capital Corp IV Class A Common Stock","N"," ","False","100.0","False","","CCIV","CCIV","False"
"True","Churchill Capital Corp IV Units, each consisting of one share of Class A common stock and one-fifth of one redeemable warrant","N"," ","False","100.0","False","","CCIV.U","CCIV=","False"
"True","Churchill Capital Corp IV Warrants, each exercisable for one share of Class A common stock at an exercise price of $11.50 per share","N"," ","False","100.0","False","","CCIV.WS","CCIV+","False"
"True","Cameco Corporation Common Stock","N"," ","False","100.0","False","","CCJ","CCJ","False"
"True","Crown Holdings, Inc.","N"," ","False","100.0","False","","CCK","CCK","False"
"True","Carnival Corporation Common Stock","N"," ","False","100.0","False","","CCL","CCL","False"
"True","CSI Compressco LP - common units","Q","Q","False","100.0","False","D","","CCLP","False"
"True","Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares)","N"," ","False","100.0","False","","CCM","CCM","False"
"True","CMC Materials, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CCMP","False"
