Date,^TPX
2004-03-31,1179.23
2004-04-30,1200.9914285714283
2004-05-31,1113.85
2004-06-30,1158.7413636363633
2004-07-31,1146.492380952381
2004-08-31,1114.775909090909
2004-09-30,1122.3975
2004-10-31,1108.484
2004-11-30,1101.7775000000001
2004-12-31,1110.3914285714284
2005-01-31,1144.0857894736841
2005-02-28,1159.711578947369
2005-03-31,1191.8222727272728
2005-04-30,1158.2165
2005-05-31,1134.2878947368417
2005-06-30,1159.3540909090907
2005-07-31,1189.4145
2005-08-31,1241.6078260869565
2005-09-30,1333.0155
2005-10-31,1400.335
2005-11-30,1505.6345000000001
2005-12-31,1611.1004761904762
2006-01-31,1654.1673684210527
2006-02-28,1653.3345000000002
2006-03-31,1665.0986363636364
2006-04-30,1744.997
2006-05-31,1657.2209999999995
2006-06-30,1532.8222727272725
2006-07-31,1549.2469999999998
2006-08-31,1601.7917391304347
2006-09-30,1599.359
2006-10-31,1635.345238095238
2006-11-30,1580.2329999999997
2006-12-31,1646.3961904761904
2007-01-31,1708.416842105263
2007-02-28,1765.5042105263155
2007-03-31,1711.784761904762
2007-04-30,1714.6285
2007-05-31,1724.4885714285715
2007-06-30,1767.961
2007-07-31,1762.6152380952383
2007-08-31,1606.0952173913045
2007-09-30,1562.3727777777776
2007-10-31,1619.6700000000003
2007-11-30,1504.8952380952385
2007-12-31,1510.2247368421056
2008-01-31,1337.7073684210527
2008-02-29,1328.4235
2008-03-31,1228.866
2008-04-30,1294.0838095238094
2008-05-31,1373.8264999999997
2008-06-30,1380.7366666666667
2008-07-31,1290.264090909091
2008-08-31,1247.103809523809
2008-09-30,1165.7965
2008-10-31,913.4854545454546
2008-11-30,857.9205555555557
2008-12-31,827.3961904761907
2009-01-31,819.6647368421053
2009-02-28,762.1568421052633
2009-03-31,756.5233333333332
2009-04-30,832.6257142857143
2009-05-31,882.4044444444444
2009-06-30,921.5695454545453
2009-07-31,903.6631818181817
2009-08-31,961.1285714285715
2009-09-30,937.0178947368421
2009-10-31,895.1009523809523
2009-11-30,855.136842105263
2009-12-31,892.9009523809523
2010-01-31,936.1184210526316
2010-02-28,896.6115789473683
2010-03-31,936.9772727272729
2010-04-30,987.5971428571429
2010-05-31,907.3833333333332
2010-06-30,873.7859090909088
2010-07-31,846.852380952381
2010-08-31,834.5072727272724
2010-09-30,836.548
2010-10-31,827.066
2010-11-30,849.8954999999999
2010-12-31,894.5442857142856
2011-01-31,924.3578947368422
2011-02-28,948.6105263157893
2011-03-31,883.5854545454545
2011-04-30,843.8915
2011-05-31,837.0189473684211
2011-06-30,822.0618181818182
2011-07-31,861.2945
2011-08-31,778.7260869565216
2011-09-30,753.8064999999999
2011-10-31,750.3385
2011-11-30,730.118
2011-12-31,732.5300000000001
2012-01-31,744.3963157894736
2012-02-29,799.3242857142858
2012-03-31,850.3666666666667
2012-04-30,817.4315000000001
2012-05-31,745.3304761904762
2012-06-30,733.1923809523809
2012-07-31,745.9971428571429
2012-08-31,748.7273913043479
2012-09-30,742.6499999999999
2012-10-31,736.2363636363635
2012-11-30,753.2128571428572
2012-12-31,811.8736842105262
2013-01-31,901.1952631578948
2013-02-28,961.0236842105265
2013-03-31,1028.548
2013-04-30,1110.4138095238093
2013-05-31,1203.3842857142854
2013-06-30,1089.4799999999998
2013-07-31,1186.912272727273
2013-08-31,1145.42
2013-09-30,1185.1752631578947
2013-10-31,1188.5086363636362
2013-11-30,1222.9005
2013-12-31,1254.4524999999999
2014-01-31,1275.171052631579
2014-02-28,1200.8268421052628
2014-03-31,1190.5655000000002
2014-04-30,1171.1823809523812
2014-05-31,1174.6159999999998
2014-06-30,1246.217619047619
2014-07-31,1275.7240909090908
2014-08-31,1271.504761904762
2014-09-30,1313.2930000000001
2014-10-31,1253.990909090909
2014-11-30,1385.3266666666668
2014-12-31,1411.5866666666666
2015-01-31,1389.137368421053
2015-02-28,1461.0810526315788
2015-03-31,1553.8331818181816
2015-04-30,1590.9109523809523
2015-05-31,1626.44
2015-06-30,1652.7213636363638
2015-07-31,1637.3031818181817
2015-08-31,1613.5861904761907
2015-09-30,1455.3031578947368
2015-10-31,1506.149523809524
2015-11-30,1582.4536842105263
2015-12-31,1551.3385714285712
2016-01-31,1412.223157894737
2016-02-29,1324.588
2016-03-31,1358.2981818181818
2016-04-30,1335.6699999999998
2016-05-31,1334.426842105263
2016-06-30,1288.8254545454545
2016-07-31,1291.3004999999998
2016-08-31,1303.9259090909093
2016-09-30,1334.4205
2016-10-31,1360.4485
2016-11-30,1409.471
2016-12-31,1522.6752380952382
2017-01-31,1534.4178947368418
2017-02-28,1537.6014999999998
2017-03-31,1552.104090909091
2017-04-30,1494.8079999999995
2017-05-31,1571.6159999999998
2017-06-30,1603.7745454545454
2017-07-31,1620.171
2017-08-31,1612.9468181818183
2017-09-30,1638.7900000000002
2017-10-31,1721.7242857142858
2017-11-30,1783.259
2017-12-31,1809.6138095238096
2018-01-31,1882.5747368421055
2018-02-28,1766.5684210526317
2018-03-31,1716.2709523809524
2018-04-30,1737.4215
2018-05-31,1783.9552380952377
2018-06-30,1762.4790476190476
2018-07-31,1729.1180952380953
2018-08-31,1721.0260869565216
2018-09-30,1746.4072222222223
2018-10-31,1703.8513636363639
2018-11-30,1646.7719047619044
2018-12-31,1565.856842105263
2019-01-31,1541.5594736842102
2019-02-28,1592.6078947368421
2019-03-31,1602.8269999999998
2019-04-30,1618.1185
2019-05-31,1547.1710526315787
2019-06-30,1540.0790000000002
2019-07-31,1573.1572727272724
2019-08-31,1501.0752380952379
