Date,3382.T,4063.T,7974.T,4502.T,4503.T,6752.T,7201.T,2914.T,9503.T,7751.T,6758.T,8604.T,9501.T,5401.T,7203.T,7267.T,8802.T,6502.T,9021.T,8031.T,8058.T,8306.T,8316.T,8411.T,8766.T,6301.T,9432.T,9433.T,9437.T,9984.T
2000-10-31,1969.0,4480.0,18522.105263157893,7190.0,988.0,617.5,749.0,750.0,1787.0,3184.0,8720.0,2315.0,2650.0,1770.0,4360.0,1885.0,1160.0,2952.0,3158.0,725.0,900.0,1470.0,4500.0,1001.5,1930.2,484.0,2482.5,853.3330078125,5380.0,1091.6700439453125
2000-11-30,1935.3181818181818,4690.0,18522.105263157893,6986.818181818182,1025.3636363636363,617.5,708.6363636363636,730.4545454545455,1779.4545454545455,3184.0,8627.727272727272,2484.5454545454545,2642.2727272727275,1830.4545454545455,4190.5,1840.1136363636363,1204.6363636363637,2952.0,3158.0,697.8181818181819,873.0,1470.0,4487.0,1001.5,1930.2,523.0909090909091,2584.7727272727275,874.1666370738636,5798.0952380952385,1256.6669644442472
2000-12-31,1837.8095238095239,4690.0,18522.105263157893,6712.380952380952,994.8571428571429,617.5,669.2380952380952,791.952380952381,1879.5714285714287,3184.0,8331.42857142857,2269.0476190476193,2685.9523809523807,1975.7142857142858,3820.9523809523807,1969.7619047619048,1239.6190476190477,2952.0,3158.0,717.0,832.9047619047619,1470.0,4395.238095238095,1001.5,1930.2,527.4761904761905,2258.3333333333335,986.7463785807291,5078.0952380952385,812.6985706147693
2001-01-31,1879.8260869565217,4293.913043478261,18522.105263157893,6439.130434782609,900.3478260869565,617.5,660.9565217391304,826.9130434782609,1874.304347826087,3184.0,8586.08695652174,2151.6521739130435,2698.913043478261,1910.0,3812.1052631578946,2021.7391304347825,1124.4782608695652,2952.0,3158.0,712.4782608695652,826.1304347826087,1470.0,4016.842105263158,1001.5,1930.2,509.0,2400.6521739130435,970.5794359290081,4400.0,911.7749103048574
2001-02-28,1905.2105263157894,4344.736842105263,19098.947368421053,5922.105263157895,869.6842105263158,617.5,714.0,828.85,1898.578947368421,3184.0,8348.421052631578,2267.3684210526317,2643.9473684210525,1997.8947368421052,3981.5789473684213,2322.3684210526317,1090.842105263158,2952.0,3158.0,677.6842105263158,815.2631578947369,1470.0,4014.7368421052633,1001.5,1930.2,537.9473684210526,2056.125,876.3157894736842,4212.631578947368,960.7015220240543
2001-03-31,1832.3809523809523,4136.666666666667,19818.0,5944.285714285715,890.8571428571429,617.5,801.7142857142857,812.5454545454545,1893.047619047619,3184.0,8577.142857142857,2162.6190476190477,2779.285714285714,2071.4285714285716,4255.714285714285,2372.6190476190477,1148.142857142857,2952.0,3158.0,651.9047619047619,795.047619047619,1470.0,4334.0,1001.5,1930.2,551.6190476190476,2117.6136363636365,721.9840494791666,4160.0,815.0794793991815
2001-04-30,1915.1904761904761,4691.9047619047615,20224.0,6017.619047619048,842.6666666666666,617.5,845.4285714285714,823.7619047619048,1874.7619047619048,3184.0,8879.047619047618,2447.6190476190477,2832.6190476190477,2168.5714285714284,4146.5,2402.9761904761904,1244.4761904761904,2952.0,3158.0,669.4285714285714,874.3809523809524,1470.0,5296.0,1001.5,1930.2,627.4761904761905,2031.4285714285713,715.5555710565476,4782.0,807.1430024646577
2001-05-31,2001.9565217391305,4947.826086956522,21449.52380952381,5969.565217391304,678.8695652173913,617.5,836.8695652173913,816.2173913043479,2009.0869565217392,3184.0,9815.652173913044,2635.8695652173915,2961.304347826087,2139.1304347826085,4187.619047619048,2536.086956521739,1201.5652173913043,2952.0,3158.0,746.7391304347826,944.6086956521739,1470.0,5680.952380952381,1001.5,1930.2,621.9565217391304,2220.8695652173915,941.3767381751019,5045.714285714285,927.5364831012229
2001-06-30,2025.5714285714287,4357.619047619048,23124.285714285714,5885.714285714285,687.5238095238095,617.5,808.3333333333334,836.4285714285714,2106.6666666666665,3184.0,8782.380952380952,2386.190476190476,3133.3333333333335,1935.2380952380952,4200.476190476191,2649.285714285714,1134.2857142857142,2952.0,3158.0,822.0,985.4761904761905,1470.0,5092.380952380952,1001.5,1930.2,545.1904761904761,1711.0714285714287,961.0314243861607,4274.285714285715,706.8253348214286
2001-07-31,2021.590909090909,4235.0,23095.714285714286,5634.090909090909,673.0,617.5,858.1363636363636,882.1363636363636,2074.7272727272725,3184.0,7157.727272727273,2130.4545454545455,3080.0,1783.6363636363637,4249.523809523809,2678.5227272727275,1145.7727272727273,2952.0,3158.0,818.6818181818181,999.5,1470.0,4915.238095238095,1001.5,1930.2,531.2727272727273,1734.659090909091,846.5150479403409,3862.8571428571427,603.1815906871449
2001-08-31,2041.8260869565217,4110.434782608696,20383.043478260868,5413.913043478261,641.304347826087,617.5,777.3913043478261,865.2608695652174,2064.1304347826085,3184.0,5956.521739130435,2180.6521739130435,3078.2608695652175,1834.7826086956522,3902.1739130434785,2496.7391304347825,1293.7391304347825,2952.0,3158.0,866.9130434782609,1019.7391304347826,1470.0,5333.04347826087,1001.5,1930.2,481.5652173913044,1533.0434782608695,681.8115234375,3345.217391304348,488.2970448369565
2001-09-30,1827.25,3512.5,16738.235294117647,5100.5,593.7,617.5,569.5,820.25,2051.8,3184.0,4643.0,1756.75,3103.75,1580.5,3294.4736842105262,1961.875,1200.3,2952.0,3158.0,692.9,864.45,1470.0,5815.555555555556,1001.5,1930.2,402.85,1423.5,562.1666015625,2768.8888888888887,418.5833984375
2001-10-31,1960.391304347826,4043.478260869565,18828.636363636364,5639.130434782609,650.0869565217391,617.5,567.7391304347826,828.9130434782609,2033.391304347826,3184.0,4669.130434782609,1723.2173913043478,3066.521739130435,1555.2173913043478,3148.6363636363635,2115.8695652173915,1211.4782608695652,2952.0,3158.0,732.5217391304348,931.9130434782609,1470.0,6289.090909090909,1001.5,1930.2,391.69565217391306,1420.0,523.7680451766304,3374.5454545454545,443.1159986413044
2001-11-30,1993.909090909091,4475.0,20691.0,5613.636363636364,712.1818181818181,617.5,575.2272727272727,768.2727272727273,1906.0,3184.0,5329.545454545455,1704.090909090909,2818.8636363636365,1649.090909090909,3123.3333333333335,2196.4772727272725,1099.7272727272727,2952.0,3158.0,688.6363636363636,866.1818181818181,1470.0,6319.0,1001.5,1930.2,403.04545454545456,1355.7954545454545,533.5605024857955,3251.818181818182,471.439453125
2001-12-31,1983.095238095238,4669.047619047619,22432.105263157893,5659.523809523809,662.5714285714286,617.5,636.6666666666666,768.8571428571429,1838.6666666666667,3184.0,5876.666666666667,1678.095238095238,2699.0476190476193,1806.6666666666667,3103.9473684210525,2343.809523809524,949.7142857142857,2952.0,3158.0,625.2380952380952,799.5714285714286,1470.0,5849.473684210527,1001.5,1930.2,423.5238095238095,1186.1904761904761,463.0952380952381,3073.3333333333335,419.3492373511905
2002-01-31,1959.4347826086957,4618.695652173913,21258.333333333332,5676.086956521739,680.6086956521739,617.5,728.9130434782609,738.7391304347826,1842.5652173913043,3184.0,6100.0,1586.2608695652175,2655.4347826086955,1860.4347826086957,3486.842105263158,2325.4347826086955,887.6521739130435,2952.0,3158.0,655.304347826087,852.304347826087,1470.0,5694.444444444444,1001.5,1930.2,445.60869565217394,1253.3695652173913,403.6230893342391,2890.4347826086955,431.3406080163044
2002-02-28,1981.0,4595.0,19132.63157894737,5260.5,668.0,617.5,767.15,728.45,1862.4,3184.0,5965.0,1386.9,2545.0,1902.5,3437.3684210526317,2500.5,892.55,2952.0,3158.0,718.8,870.9,1470.0,5993.684210526316,1001.5,1930.2,395.3,1046.25,382.833349609375,2784.0,307.95830078125
2002-03-31,2016.2857142857142,5517.142857142857,20320.0,5432.857142857143,703.5238095238095,617.5,902.2857142857143,782.4761904761905,1924.142857142857,3184.0,6882.380952380952,1763.0,2546.4285714285716,1931.4285714285713,3748.5,2700.4761904761904,966.2857142857143,2952.0,3158.0,788.9047619047619,979.6190476190476,1470.0,6560.0,1001.5,1930.2,451.0952380952381,1311.904761904762,553.9682384672619,3343.809523809524,411.3014322916667
