,NIKKEI 225,TOPIX Index,TOPIX Core30 (equal share),TOPIX 500 (equal share),"Mean-Variance Model (TOPIX Core30, 12 months)","Mean-Variance Model (TOPIX Core30, 36 months)","Mean-Variance Model (TOPIX Core30, 60 months)","Sharpe-Ratio-Max Model (TOPIX Core30, 12 months)","Sharpe-Ratio-Max Model (TOPIX Core30, 36 months)","Sharpe-Ratio-Max Model (TOPIX Core30, 60 months)"
2011-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-30,-0.05365640147103823,-0.026948503908569177,-0.017454076698026344,-0.024526963525537182,-6.297986613713888e-05,-7.826743070723846e-05,-7.720286990391353e-05,0.017447902334681367,-0.031113502080882476,-0.03889499347413087
2011-12-31,-1.3295909303323583e-05,0.003303575586412366,-0.014714707062791321,0.0015598231305373744,-5.317575043827554e-05,-5.964088666842096e-05,-4.400309745030949e-05,-0.003257073613701062,0.0407276481510717,0.0494942455683395
2012-01-31,0.013016356667871154,0.016199085074295017,0.010036427587960306,0.012578932089303718,-6.576079478634963e-05,-2.4642977685751272e-05,-3.844591608218782e-05,-0.052778756394984534,-0.06756724302156694,-0.08131953369984386
2012-02-29,0.07260522866918184,0.07378861066306874,0.07397929643616186,0.05133163495136306,4.6728353398710785e-05,3.667687946762556e-05,4.9936907258765684e-05,0.06044046646593955,-0.004251633327313237,-0.06490228979023743
2012-03-31,0.07790463716229867,0.06385691247547776,0.05775093896501371,0.047903111838370815,0.00019290309151827166,0.0001940447641164281,0.00023826093831643555,0.07922343945126668,0.1082383683523819,0.1056288192316946
2012-04-30,-0.03361930818996972,-0.03873054760691452,-0.034520974190467846,-0.029804136594107633,0.00025303551039402363,0.006911851069184949,0.00017555355203755128,0.08450744463017139,0.06565114751365055,0.041061787626967064
2012-05-31,-0.0815253775645517,-0.08820436184502789,-0.09014292730428453,-0.07164490914538102,-0.00017644149435507389,-0.0013939728581552745,-0.00012827040454244662,-0.00024235602076925036,-0.0068518161941572755,-0.008313403710986255
2012-06-30,-0.02312247173284243,-0.01628552115584414,-0.011961646417224414,-0.016699165180781184,-0.0002878998791235261,-0.0015331513342119242,-0.00026208145129331977,-0.04924154987362134,-0.053814414239775704,-0.1498977851459784
2012-07-31,0.014192805938449515,0.01746439575398928,0.0057939105132986946,0.014182559821392937,-2.6854794816207883e-06,-1.0781222589632975e-05,-3.152325314978173e-05,0.005608863154715972,0.06485871788584116,0.10816726387503234
2012-08-31,0.02159626832356487,0.0036598644825207582,-0.00563051704622608,0.0022381417604251386,-0.0377199023799106,-0.037782049230532494,-0.03780260180885882,0.07465387392349214,0.10214921920725914,0.1281501814364268
2012-09-30,-0.00014369049694529235,-0.008116961359942554,0.00024002348620788538,-0.003946966862449219,-0.001212800749076232,-0.0011677248158228329,-0.0013212692522452751,0.020647708540277705,0.03571178633984835,0.02463863136035175
2012-10-31,-0.013544449955426918,-0.008636149415789829,0.012987013889126597,-0.006802889061722106,-0.01759920409031668,-0.017367377222037725,-0.016914091526100673,-0.043137744839822745,-0.03447935722025684,-0.031226977918454926
2012-11-30,0.02633550315846578,0.02305848277127276,0.019066172235995493,0.016549071406085858,0.011414549537511661,0.010645436018849675,0.010760965327210707,0.0147154065700342,0.008236445076522752,0.009765348386843552
2012-12-31,0.08328135164059547,0.07788080953661058,0.04505245754779419,0.06605325611177038,0.0007785489620410198,0.000592625045991868,0.0005389286397890807,-0.008372661380023568,-0.0071289742710780105,-0.008583667983381985
2013-01-31,0.09541892981148226,0.11001905922622135,0.11260760488591637,0.08800136426127025,0.05171529876521637,0.058782529259658586,0.058751958809175615,0.04527894009259055,0.04282296925205441,0.03703772534549078
2013-02-28,0.054469157253647316,0.06638785566069871,0.06329493454698643,0.05638813950425403,0.11495322082893458,0.11288950961498062,0.11374510416332743,0.12631874913847194,0.12028321371461466,0.11007643509695275
2013-03-31,0.08005894595497831,0.07026290496154042,0.0686120220242108,0.07686634104212309,0.07851052245992093,0.07627744962697856,0.0788249102479614,0.07996518352846022,0.07012584114818958,0.07603774604578095
2013-04-30,0.0800417003945626,0.07959357222395957,0.07596330777205074,0.0699536655357973,0.09799444336183828,0.12213064371901673,0.12191444301640478,0.05938155669280425,0.05136332390836899,0.08795715810955283
2013-05-31,0.09893672514938512,0.08372597259966152,0.05436495158021093,0.07508936686073997,0.11367273978642298,0.053794909941990016,0.04677493122983947,0.12296167089252744,0.0915256556165954,0.07249968515920799
2013-06-30,-0.09811095154915583,-0.09465329327171335,-0.08245885673667241,-0.09822784260641937,0.05382982425232446,0.055790567058630496,0.02950901943981769,0.08702238058296657,0.08741891089765026,0.06076149962526112
2013-07-31,0.09239032053121088,0.08943007005844361,0.10637515343175163,0.08733191035607013,-0.07896847416624173,-0.0967479788084988,-0.10542272843140511,-0.07825120841127683,-0.0723272316071473,-0.08871186939919656
2013-08-31,-0.04126961726805434,-0.03495816302575794,-0.042310604433223764,-0.029998354390614712,0.1147359469301844,0.057643550305811225,0.07298440478518092,0.10927265928736925,0.10724682159758997,0.14487763503777223
2013-09-30,0.04702186076378134,0.03470802252265082,0.012429428912651419,0.033603478637547646,-0.05773306156083232,-0.04701644279725862,-0.04952245347465998,-0.04773742795084755,-0.04516006849889342,-0.05158096909288196
2013-10-31,-0.00299845590293335,0.002812557188259124,-0.0036973490394895947,0.0053678323732559985,0.014417205135758802,0.02097466991710013,0.02000645869734036,0.015130374814597485,0.021633720147288687,0.030053818931655353
